马哲钰 37 201507780114 北京欢迎你 female 21 信息 932 94 1
王靖坤 57 201626810417 子弹列车 female 21 建行 926 93 2
邱锡志 23 201626811312 你不懂 male 21 计算机 926 93 3
赵宇豪 55 201626810928 不懂 female 23 建行 930 92 4
阮嘉懿 56 201626810413 一开始 female 23 建行 921 92 5
黄凌初 6 201626810508 挖蛤蜊 female 22 法学 927 91 6
严志超 47 201518530420 醉赤壁 female 22 经贸 926 91 7
邢方森 60 201626810321 天使心 female 20 机械 921 91 8
金润辉 11 201626810907 安眠药 male 21 机械 918 91 9
林星 32 201626810709 小说 male 20 化工 917 91 10
刘天佑 36 201626810610 聆听世界 male 20 信息 912 91 11
杨振华 21 201626811225 到不了 male 20 人文 911 91 12
陈朝粤 15 201626811101 不哭了 male 23 理学院 905 91 13
王笑 42 201626810718 万山之巅 female 21 艺术 903 91 14
周扬 22 201626811230 忘不了 male 20 环境 915 90 15
樊万理 30 201626811408 期待爱 male 20 经贸 907 90 16
余旭华 19 201626811128 交叉口 male 22 法学 906 90 17
孙博文 13 201626811021 我可以 male 20 建工 900 90 18
刘恩椤 40 201626811115 1967 female 21 艺术 897 90 19
鲁小芸 5 201626810411 春来了 female 20 外国语 897 90 20
倪锦鑫 44 201626811018 第二天堂 female 22 艺术 892 90 21
涂再立 45 201626811219 江南 female 22 艺术 891 90 22
骆浩东 46 201626811120 不死之身 female 22 艺术 886 90 23
蒲春娇 20 201626811213 陌生人 female 21 经贸 901 89 24
叶逸飞 24 201626811324 静静的 male 20 外国语 900 89 25
杨金璈 54 201626810624 压力 female 23 经贸 896 89 26
张涛 53 201626810727 女儿家 female 23 人文 896 89 27
沈悦 17 201626811123 说爱我 female 23 计算机 894 89 28
居家豪 33 201626811110 抢玫瑰 male 20 药学 894 89 29
施蔚斌 39 201626811215 自由不变 female 21 信息 892 89 30
杨园园 7 201626810723 开挂侠 female 20 经贸 889 89 31
戴美怡 41 201626810504 杀手 female 21 艺术 888 89 32
卢文德 2 201626810112 针针扎 male 21 理学院 886 89 33
韩昀祺 49 201626810403 会读书 female 22 教科 899 88 34
严俊杰 4 201626810227 梦的堡垒 male 21 计算机 897 88 35
李舟扬 38 201626811014 相信无限 female 21 理学院 894 88 36
杨佳霖 18 201626811127 紫外线 male 23 外国语 891 88 37
白长辉 35 201626810501 唱响世界 male 20 计算机 889 88 38
解钧焱 29 201626811307 笨蛋 male 20 计算机 887 88 39
傅嘉贝 10 201626810903 格格不入 male 21 化工 887 88 40
耿帅 12 201626811008 卷珠帘 male 22 建工 884 88 41
吴梦泽 50 201626811024 翅膀 female 22 国际 880 88 42
邓钧钰 26 201626810702 HOME male 20 海洋 877 88 43
吴宇丁 14 201626811025 回旋梯 male 21 建工 875 88 44
彭浩谦 58 201626810813 豆浆油条 female 21 法学 870 88 45
张腾 51 201501390824 星球 female 22 国际 891 87 46
龙杰 8 201626810811 唱念爱 male 22 人文 887 87 47
周舒宁 52 201532250327 冻结 female 23 国际 885 87 48
陈雨潭 9 201626810901 当你老了 male 23 环境 883 87 49
丁桢耀 27 201626811204 无聊 male 20 海洋 882 87 50
邓鸿伟 48 201626810401 就是我 female 22 教科 881 87 51
胡嘉伟 16 201626811107 夏雨诗 male 21 经贸 881 87 52
朱琪玲 25 201626811332 忘记 female 20 化工 877 87 53
韩帅 43 201626810205 一起摇 female 21 艺术 875 87 54
刘冠良 34 201626811211 小酒窝 male 20 药学 866 87 55
许柏舟 3 201626810225 第十一年 male 20 经贸 861 87 56
赵田钰 59 201626810531 害怕 female 21 法学 876 86 57
陈凡钒 28 201626811404 爱笑 male 20 计算机 872 86 58
梁锦豪 31 201626810708 发现爱 male 20 化工 861 85 59
